2019/01,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
2019/11,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/11,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,겨울왕국 2,2019-11-21,"63,285,894,030",40.70%,"63,285,894,030","7,603,953","7,603,953","2,648","128,577",,1,도굴,2020-11-04,"12,613,794,610",39.20%,"12,626,814,610","1,378,476","1,379,944","1,635","108,697"
2,블랙머니,2019-11-13,"18,268,274,790",11.80%,"18,387,112,290","2,164,566","2,178,552","1,141","63,480",,2,삼진그룹 영어토익반,2020-10-21,"7,081,575,260",22.00%,"13,875,070,140","773,080","1,558,475","1,588","72,884"
3,신의 한 수: 귀수편,2019-11-07,"18,287,884,230",11.80%,"18,360,705,230","2,132,929","2,143,602","1,246","81,207",,3,내가 죽던 날,2020-11-12,"2,104,862,880",6.50%,"2,104,862,880","229,425","229,425",909,"28,450"
4,터미네이터: 다크 페이트,2019-10-30,"17,068,709,880",11.00%,"20,079,825,430","1,970,995","2,400,137","1,315","70,514",,4,이웃사촌,2020-11-25,"1,880,560,860",5.80%,"1,880,560,860","220,936","220,936","1,363","24,785"
5,82년생 김지영,2019-10-23,"15,556,000,520",10.00%,"30,167,445,470","1,845,095","3,661,702","1,272","82,769",,5,런,2020-11-20,"1,831,297,990",5.70%,"1,831,297,990","198,339","198,339",799,"20,947"
6,날씨의 아이,2019-10-30,"4,379,622,990",2.80%,"5,351,379,270","516,642","648,156",621,"22,798",,6,담보,2020-09-29,"651,345,270",2.00%,"14,737,929,550","74,469","1,717,764",620,"9,302"
7,나를 찾아줘,2019-11-27,"2,758,357,280",1.80%,"2,758,357,280","356,815","356,815",875,"13,345",,7,노트북,2004-11-26,"364,973,240",1.10%,"4,620,519,440","41,060","649,612",144,"4,600"
8,아담스 패밀리,2019-11-07,"2,562,804,140",1.60%,"2,634,309,140","321,294","329,523",802,"11,178",,8,극장판 바이올렛 에버가든,2020-11-12,"345,469,070",1.10%,"345,469,070","40,458","40,458",131,"3,054"
9,말레피센트 2,2019-10-17,"1,694,638,960",1.10%,"12,190,635,690","204,043","1,444,876",578,"9,972",,9,프리키 데스데이,2020-11-25,"324,689,620",1.00%,"324,689,620","37,972","37,972",631,"8,679"
10,엔젤 해즈 폴른,2019-11-13,"1,471,137,922",0.90%,"1,471,137,922","180,099","180,099",601,"14,291",,10,테넷,2020-08-26,"314,162,390",1.00%,"18,385,082,730","32,539","1,990,908",135,"2,264"
합계,,,"145,333,324,742",93.50%,"174,686,801,752","17,296,431","20,947,415","11,099","498,131",,합계,,,"27,512,731,190",85.40%,"70,732,296,890","3,026,754","8,023,833","7,955","283,662"
,,,,,,,,,,,,,,,,,,,,
2019/12,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/12,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,백두산,2019-12-19,"52,905,789,770",28.30%,"52,905,789,770","6,290,502","6,290,502","1,971","99,915",,1,원더 우먼 1984,2020-12-23,"3,490,431,460",28.10%,"3,490,431,460","390,986","390,986","2,260","45,347"
2,겨울왕국 2,2019-11-21,"48,310,354,690",25.90%,"111,596,248,720","5,765,111","13,369,064","2,351","153,980",,2,이웃사촌,2020-11-25,"1,767,337,100",14.20%,"3,647,897,960","203,828","424,764","1,202","40,665"
3,시동,2019-12-18,"21,236,477,800",11.40%,"21,236,477,800","2,525,986","2,525,986","1,515","58,603",,3,조제,2020-12-10,"1,673,427,570",13.50%,"1,673,427,570","186,647","186,647","1,179","38,291"
4,포드 V 페라리,2019-12-04,"10,552,166,680",5.70%,"10,612,013,680","1,202,391","1,208,407",986,"40,143",,4,도굴,2020-11-04,"1,137,865,800",9.20%,"13,764,680,410","143,570","1,523,514",642,"24,577"
5,쥬만지: 넥스트 레벨,2019-12-11,"8,774,663,410",4.70%,"8,774,663,410","1,054,963","1,054,963","1,195","42,083",,5,런,2020-11-20,"729,142,610",5.90%,"2,560,440,600","80,479","278,818",597,"18,008"
6,천문: 하늘에 묻는다,2019-12-26,"7,808,242,950",4.20%,"7,808,242,950","965,624","965,624","1,198","25,734",,6,화양연화,2000-10-20,"310,831,200",2.50%,"399,980,700","35,676","48,014",444,"4,339"
7,캣츠,2019-12-24,"6,093,167,690",3.30%,"6,093,167,690","728,328","728,328","1,143","22,732",,7,더 프롬,2020-12-02,"213,920,730",1.70%,"213,920,730","24,635","24,635",662,"8,736"
8,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,"5,299,942,440",2.80%,"5,299,942,440","672,122","672,122",841,"13,762",,8,파티마의 기적,2020-12-03,"127,982,100",1.00%,"132,647,100","15,901","16,562",162,"3,006"
9,나이브스 아웃,2019-12-04,"5,608,637,210",3.00%,"5,648,860,210","662,874","667,411",686,"24,181",,9,800,2020-12-10,"135,367,500",1.10%,"135,367,500","15,549","15,549",223,"3,738"
10,감쪽같은 그녀,2019-12-04,"3,377,511,790",1.80%,"3,594,862,790","436,205","469,296",761,"24,670",,10,극장판 바이올렛 에버가든,2020-11-12,"122,517,420",1.00%,"467,986,490","14,572","55,030",71,"2,009"
합계,,,"169,966,954,430",91.10%,"233,570,269,460","20,304,106","27,951,703","12,647","505,803",,합계,,,"9,708,823,490",78.20%,"26,486,780,520","1,111,843","2,964,519","7,442","188,716"
,,,,,,,,,,,,,,,,,,,,
2021/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,소울,2021-01-20,"7,936,306,910",50.30%,"7,936,306,910","874,999","874,999","2,018","63,209",,,,,,,,,,,
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"1,820,102,670",11.50%,"1,820,102,670","206,309","206,309",380,"5,816",,,,,,,,,,,
3,원더 우먼 1984,2020-12-23,"1,445,202,000",9.20%,"4,935,633,460","155,562","546,548","1,877","38,241",,,,,,,,,,,
4,화양연화,2000-10-20,"478,844,570",3.00%,"878,825,270","52,142","100,156",447,"12,472",,,,,,,,,,,
5,세자매,2021-01-27,"354,451,240",2.20%,"354,568,240","42,290","42,301",569,"5,876",,,,,,,,,,,
6,명탐정 코난: 진홍의 수학여행,2021-01-27,"316,132,440",2.00%,"316,132,440","38,131","38,131",532,"4,670",,,,,,,,,,,
7,조제,2020-12-10,"210,969,970",1.30%,"1,884,397,540","23,337","209,984",472,"6,316",,,,,,,,,,,
8,아이 엠 우먼,2021-01-14,"177,552,770",1.10%,"186,954,270","21,913","22,918",494,"6,010",,,,,,,,,,,
9,도굴,2020-11-04,"196,004,260",1.20%,"13,960,684,670","21,729","1,545,243",294,"5,027",,,,,,,,,,,
10,뱅가드,2020-12-30,"186,606,800",1.20%,"265,893,700","21,166","31,546",265,"4,777",,,,,,,,,,,
합계,,,"13,122,173,630",83.00%,"32,539,499,170","1,457,578","3,618,135","7,348","152,414",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/02,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,소울,2021-01-20,"9,474,663,770",33.00%,"17,410,970,680","1,005,634","1,880,633","1,439","79,149",,,,,,,,,,,
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"6,743,706,680",23.50%,"8,563,809,350","686,798","893,107",900,"44,233",,,,,,,,,,,
3,미션 파서블,2021-02-17,"2,989,660,480",10.40%,"2,990,227,480","331,069","331,132",930,"30,022",,,,,,,,,,,
4,새해전야,2021-02-10,"1,552,542,580",5.40%,"1,552,885,580","168,156","168,205",906,"21,359",,,,,,,,,,,
5,몬스터 헌터,2021-02-10,"965,858,800",3.40%,"971,145,800","101,631","101,942",668,"13,264",,,,,,,,,,,
6,카오스 워킹,2021-02-24,"824,301,600",2.90%,"824,301,600","99,826","99,826",780,"11,173",,,,,,,,,,,
7,톰과 제리,2021-02-24,"767,589,210",2.70%,"767,589,210","91,333","91,333",918,"10,470",,,,,,,,,,,
8,어니스트 씨프,2021-02-03,"711,244,860",2.50%,"711,244,860","80,110","80,110",554,"11,012",,,,,,,,,,,
9,해리 포터와 불의 잔,2005-12-01,"590,584,500",2.10%,"22,054,745,400","63,960","3,494,935",49,"2,139",,,,,,,,,,,
10,세자매,2021-01-27,"334,261,000",1.20%,"688,829,240","38,850","81,151",490,"6,774",,,,,,,,,,,
합계,,,"24,954,413,480",87.10%,"56,535,749,200","2,667,367","7,222,374","7,634","229,595",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/03,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,미나리,2021-03-03,"7,604,837,970",25.20%,"7,614,253,970","842,174","843,183","1,162","78,530",,,,,,,,,,,
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"5,965,023,230",19.80%,"14,528,832,580","620,165","1,513,272",758,"45,502",,,,,,,,,,,
3,고질라 VS. 콩,2021-03-25,"3,786,910,320",12.60%,"3,786,910,320","400,880","400,880","1,295","26,730",,,,,,,,,,,
4,라야와 마지막 드래곤,2021-03-04,"2,807,841,770",9.30%,"2,814,159,770","303,616","304,318","1,056","32,094",,,,,,,,,,,
5,소울,2021-01-20,"1,528,855,380",5.10%,"18,939,826,060","157,646","2,038,279",784,"17,075",,,,,,,,,,,
6,미션 파서블,2021-02-17,"1,061,223,720",3.50%,"4,051,451,200","113,447","444,579",778,"15,009",,,,,,,,,,,
7,더 박스,2021-03-24,"747,473,730",2.50%,"747,473,730","93,198","93,198",372,"3,113",,,,,,,,,,,
8,중경삼림,1995-09-02,"484,840,370",1.60%,"614,701,170","49,781","65,834",336,"6,484",,,,,,,,,,,
9,카오스 워킹,2021-02-24,"403,567,880",1.30%,"1,227,869,480","47,074","146,900",720,"8,342",,,,,,,,,,,
10,최면,2021-03-24,"399,800,610",1.30%,"399,800,610","44,118","44,118",506,"5,722",,,,,,,,,,,
합계,,,"24,790,374,980",82.20%,"54,725,278,890","2,672,099","5,894,561","7,767","238,601",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/04,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,서복,2021-04-15,"3,455,073,020",14.70%,"3,455,948,020","367,645","367,770","1,382","47,827",,,,,,,,,,,
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"3,365,734,960",14.30%,"17,894,567,540","346,572","1,859,844",642,"30,629",,,,,,,,,,,
3,고질라 VS. 콩,2021-03-25,"2,953,464,400",12.50%,"6,740,374,720","299,183","700,063","1,053","35,304",,,,,,,,,,,
4,자산어보,2021-03-31,"2,668,467,040",11.30%,"2,922,255,890","292,097","329,935","1,195","45,386",,,,,,,,,,,
5,내일의 기억,2021-04-21,"1,793,427,140",7.60%,"1,793,427,140","207,232","207,232",957,"25,594",,,,,,,,,,,
6,명탐정 코난: 비색의 탄환,2021-04-16,"1,449,082,690",6.20%,"1,449,082,690","153,095","153,095",844,"18,403",,,,,,,,,,,
7,미나리,2021-03-03,"1,268,387,380",5.40%,"8,882,641,350","142,399","985,582",596,"17,706",,,,,,,,,,,
8,노바디,2021-04-07,"1,237,641,710",5.30%,"1,258,032,710","128,963","131,876",577,"19,565",,,,,,,,,,,
9,비와 당신의 이야기,2021-04-28,"687,257,550",2.90%,"687,257,550","83,539","83,539",952,"9,295",,,,,,,,,,,
10,더 스파이,2021-04-28,"506,970,290",2.20%,"506,970,290","62,028","62,028",629,"5,518",,,,,,,,,,,
합계,,,"19,385,506,180",82.40%,"45,590,557,900","2,082,753","4,880,964","8,827","255,227",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/05,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,분노의 질주: 더 얼티메이트,2021-05-19,"17,277,990,580",42.10%,"17,277,990,580","1,790,654","1,790,654","2,297","83,931",,,,,,,,,,,
2,크루엘라,2021-05-26,"3,039,545,310",7.40%,"3,039,545,310","330,211","330,211","1,184","19,232",,,,,,,,,,,
3,비와 당신의 이야기,2021-04-28,"2,945,952,300",7.20%,"3,633,209,850","314,868","398,407",957,"34,683",,,,,,,,,,,
4,더 스파이,2021-04-28,"2,329,329,840",5.70%,"2,836,300,130","245,413","307,441",710,"27,140",,,,,,,,,,,
5,크루즈 패밀리: 뉴 에이지,2021-05-05,"1,959,553,560",4.80%,"1,994,226,560","222,226","225,818","1,082","21,119",,,,,,,,,,,
6,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"2,044,649,290",5.00%,"19,939,216,830","209,972","2,069,816",548,"19,261",,,,,,,,,,,
7,미나리,2021-03-03,"1,299,467,860",3.20%,"10,182,109,210","143,926","1,129,508",701,"16,282",,,,,,,,,,,
8,스파이럴,2021-05-12,"1,278,892,690",3.10%,"1,278,892,690","128,928","128,928",691,"20,122",,,,,,,,,,,
9,내일의 기억,2021-04-21,"1,232,214,520",3.00%,"3,025,641,660","125,712","332,944",625,"15,855",,,,,,,,,,,
10,파이프라인,2021-05-26,"840,187,490",2.00%,"840,187,490","96,311","96,311",777,"12,204",,,,,,,,,,,
합계,,,"34,247,783,440",83.50%,"64,047,320,310","3,608,211","6,810,038","9,572","269,829",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/06,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,크루엘라,2021-05-26,"11,669,502,860",24.80%,"14,709,048,170","1,201,759","1,531,970","1,186","74,787",,,,,,,,,,,
2,컨저링3: 악마가 시켰다,2021-06-03,"7,760,161,840",16.50%,"7,763,101,840","772,892","773,088","1,133","49,912",,,,,,,,,,,
3,콰이어트 플레이스 2,2021-06-16,"6,622,919,070",14.10%,"6,622,919,070","670,671","670,671","1,137","47,972",,,,,,,,,,,
4,분노의 질주: 더 얼티메이트,2021-05-19,"4,688,604,910",10.00%,"21,966,595,490","489,297","2,279,951","1,332","47,241",,,,,,,,,,,
5,발신제한,2021-06-23,"4,338,510,980",9.20%,"4,338,510,980","467,786","467,786","1,010","34,225",,,,,,,,,,,
6,킬러의 보디가드 2,2021-06-23,"2,815,830,900",6.00%,"2,815,830,900","289,033","289,033",975,"25,862",,,,,,,,,,,
7,루카,2021-06-17,"2,393,628,450",5.10%,"2,393,628,450","263,252","263,252",856,"21,029",,,,,,,,,,,
8,캐시트럭,2021-06-09,"2,156,468,890",4.60%,"2,156,468,890","226,923","226,923",938,"27,890",,,,,,,,,,,
9,여고괴담 여섯번째 이야기 : 모교,2021-06-17,"837,382,910",1.80%,"837,382,910","91,788","91,788",603,"12,963",,,,,,,,,,,
10,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"670,709,150",1.40%,"20,609,925,980","76,170","2,145,986",274,"5,865",,,,,,,,,,,
합계,,,"43,953,719,960",93.50%,"84,213,412,680","4,549,571","8,740,448","9,444","347,746",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/07,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,블랙 위도우,2021-07-07,"27,903,975,680",40.80%,"27,909,900,680","2,753,522","2,753,917","2,528","141,940",,,,,,,,,,,
2,랑종,2021-07-14,"8,410,979,190",12.30%,"8,410,979,190","810,761","810,761","1,403","50,289",,,,,,,,,,,
3,보스 베이비 2,2021-07-21,"5,286,368,710",7.70%,"5,286,368,710","589,257","589,257","1,343","36,633",,,,,,,,,,,
4,모가디슈,2021-07-28,"5,087,095,430",7.40%,"5,087,095,430","546,411","546,411","1,686","27,718",,,,,,,,,,,
5,발신제한,2021-06-23,"4,739,347,550",6.90%,"9,077,858,530","483,314","951,100",969,"36,834",,,,,,,,,,,
6,크루엘라,2021-05-26,"4,450,374,300",6.50%,"19,159,422,470","441,684","1,973,654",889,"28,007",,,,,,,,,,,
7,이스케이프 룸 2: 노 웨이 아웃,2021-07-14,"2,080,122,620",3.00%,"2,080,122,620","209,450","209,450",728,"18,878",,,,,,,,,,,
8,콰이어트 플레이스 2,2021-06-16,"1,904,607,890",2.80%,"8,527,526,960","188,501","859,172",718,"14,880",,,,,,,,,,,
9,정글 크루즈,2021-07-28,"1,035,731,830",1.50%,"1,035,731,830","116,233","116,233",831,"8,886",,,,,,,,,,,
10,루카,2021-06-17,"993,379,860",1.50%,"3,387,008,310","107,323","370,575",632,"7,457",,,,,,,,,,,
합계,,,"61,891,983,060",90.40%,"89,962,014,730","6,246,456","9,180,530","11,727","371,522",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/08,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,모가디슈,2021-07-28,"24,651,270,990",32.30%,"29,738,366,420","2,563,395","3,109,806","1,688","137,088",,,,,,,,,,,
2,싱크홀,2021-08-11,"19,751,991,550",25.90%,"19,751,991,550","2,021,033","2,021,033","1,603","102,507",,,,,,,,,,,
3,인질,2021-08-18,"11,802,045,620",15.50%,"11,802,045,620","1,209,650","1,209,650","1,294","69,303",,,,,,,,,,,
4,더 수어사이드 스쿼드,2021-08-04,"4,368,532,410",5.70%,"4,389,784,410","416,548","418,063","1,066","29,158",,,,,,,,,,,
5,보스 베이비 2,2021-07-21,"2,987,051,940",3.90%,"8,273,420,650","332,614","921,871",956,"21,870",,,,,,,,,,,
6,프리 가이,2021-08-11,"3,003,450,930",3.90%,"3,019,178,930","297,025","298,189",750,"22,962",,,,,,,,,,,
7,블랙 위도우,2021-07-07,"2,061,750,460",2.70%,"29,971,651,140","205,891","2,959,808",690,"12,840",,,,,,,,,,,
8,정글 크루즈,2021-07-28,"1,254,384,390",1.60%,"2,290,116,220","131,362","247,595",794,"12,020",,,,,,,,,,,
9,올드,2021-08-18,"1,073,226,890",1.40%,"1,073,226,890","110,022","110,022",550,"11,956",,,,,,,,,,,
10,귀문,2021-08-25,"709,188,510",0.90%,"709,188,510","81,420","81,420",692,"10,018",,,,,,,,,,,
합계,,,"71,662,893,690",93.80%,"111,018,970,340","7,368,960","11,377,457","10,083","429,722",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/09,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,샹치와 텐 링즈의 전설,2021-09-01,"17,147,107,720",32.80%,"17,170,427,720","1,684,610","1,686,426","1,784","111,508",,,,,,,,,,,
2,보이스,2021-09-15,"10,139,559,510",19.40%,"10,139,559,510","1,029,282","1,029,282","1,296","72,787",,,,,,,,,,,
3,기적,2021-09-15,"4,581,469,660",8.80%,"4,585,456,660","487,170","487,613","1,198","52,128",,,,,,,,,,,
4,모가디슈,2021-07-28,"4,456,268,650",8.50%,"34,194,635,070","464,645","3,574,451",828,"40,917",,,,,,,,,,,
5,인질,2021-08-18,"3,716,059,800",7.10%,"15,518,105,420","417,320","1,626,970",994,"40,358",,,,,,,,,,,
6,007 노 타임 투 다이,2021-09-29,"1,487,960,100",2.80%,"1,487,960,100","180,574","180,574","2,178","10,560",,,,,,,,,,,
7,싱크홀,2021-08-11,"1,599,142,820",3.10%,"21,351,134,370","166,729","2,187,762",683,"19,127",,,,,,,,,,,
8,"극장판 포켓몬스터: 정글의 아이, 코코",2021-09-15,"1,506,290,940",2.90%,"1,506,290,940","165,807","165,807",699,"10,646",,,,,,,,,,,
9,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,2021-09-15,"1,267,661,100",2.40%,"1,267,661,100","133,650","133,650",593,"9,238",,,,,,,,,,,
10,맨 인 더 다크 2,2021-09-01,"765,553,800",1.50%,"778,633,300","76,228","78,822",248,"6,892",,,,,,,,,,,
합계,,,"46,667,074,100",89.30%,"107,999,864,190","4,806,015","11,151,357","10,501","374,161",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/10,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,베놈 2: 렛 데어 비 카니지,2021-10-13,"19,592,096,510",38.50%,"19,592,096,510","1,974,733","1,974,733","1,998","131,580",,,,,,,,,,,
2,007 노 타임 투 다이,2021-09-29,"10,426,284,850",20.50%,"11,914,244,950","1,038,271","1,218,845","2,201","86,503",,,,,,,,,,,
3,듄,2021-10-20,"8,062,427,240",15.90%,"8,062,427,240","762,523","762,523","1,576","52,634",,,,,,,,,,,
4,보이스,2021-09-15,"3,755,357,020",7.40%,"13,894,916,530","381,415","1,410,697",863,"43,221",,,,,,,,,,,
5,기적,2021-09-15,"1,897,718,830",3.70%,"6,483,175,490","205,382","692,995",699,"25,200",,,,,,,,,,,
6,고장난 론,2021-10-27,"757,606,280",1.50%,"757,606,280","84,647","84,647",904,"9,951",,,,,,,,,,,
7,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,2021-09-15,"620,539,040",1.20%,"1,888,200,140","64,947","198,597",319,"4,543",,,,,,,,,,,
8,용과 주근깨 공주,2021-09-29,"574,824,800",1.10%,"635,602,400","58,198","65,436",216,"6,247",,,,,,,,,,,
9,샹치와 텐 링즈의 전설,2021-09-01,"536,402,860",1.10%,"17,706,830,580","53,123","1,739,549",464,"5,925",,,,,,,,,,,
10,라스트 듀얼: 최후의 결투,2021-10-20,"502,776,600",1.00%,"502,776,600","52,560","52,560",367,"6,946",,,,,,,,,,,
합계,,,"46,726,034,030",91.90%,"81,437,876,720","4,675,799","8,200,582","9,607","372,750",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/11,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,이터널스,2021-11-03,"31,210,610,590",47.30%,"31,219,783,590","2,998,482","2,999,209","2,648","155,332",,,,,,,,,,,
2,듄,2021-10-20,"7,371,563,880",11.20%,"15,433,991,120","672,002","1,434,525","1,329","43,244",,,,,,,,,,,
3,장르만 로맨스,2021-11-17,"4,877,819,720",7.40%,"4,879,195,720","483,876","484,048","1,194","44,324",,,,,,,,,,,
4,유체이탈자,2021-11-24,"4,256,679,700",6.50%,"4,257,179,700","440,218","440,268","1,216","33,968",,,,,,,,,,,
5,강릉,2021-11-10,"3,152,097,470",4.80%,"3,152,097,470","304,200","304,200",761,"28,116",,,,,,,,,,,
6,엔칸토: 마법의 세계,2021-11-24,"2,877,932,500",4.40%,"2,877,932,500","302,336","302,336","1,102","21,753",,,,,,,,,,,
7,연애 빠진 로맨스,2021-11-24,"2,570,402,990",3.90%,"2,571,509,990","255,287","255,410",967,"25,565",,,,,,,,,,,
8,베놈 2: 렛 데어 비 카니지,2021-10-13,"1,516,722,910",2.30%,"21,108,819,420","148,076","2,122,809","1,169","20,011",,,,,,,,,,,
9,아담스 패밀리 2,2021-11-10,"953,999,220",1.40%,"953,999,220","106,939","106,939",750,"9,982",,,,,,,,,,,
10,디어 에반 핸슨,2021-11-17,"1,015,573,830",1.50%,"1,015,573,830","100,074","100,074",631,"11,728",,,,,,,,,,,
합계,,,"59,803,402,810",90.70%,"87,470,082,560","5,811,490","8,549,818","11,767","394,023",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021/12,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,스파이더맨: 노 웨이 홈,2021-12-15,"55,697,413,760",65.90%,"55,697,413,760","5,560,940","5,560,940","2,948","144,754",,,,,,,,,,,
2,킹스맨: 퍼스트 에이전트,2021-12-22,"6,154,017,260",7.30%,"6,154,017,260","622,461","622,461","1,061","26,294",,,,,,,,,,,
3,유체이탈자,2021-11-24,"3,642,401,090",4.30%,"7,899,580,790","370,901","811,169","1,077","49,878",,,,,,,,,,,
4,연애 빠진 로맨스,2021-11-24,"3,548,951,010",4.20%,"6,120,461,000","347,605","603,015",874,"41,163",,,,,,,,,,,
5,엔칸토: 마법의 세계,2021-11-24,"3,004,819,680",3.60%,"5,882,752,180","317,759","620,095",972,"30,411",,,,,,,,,,,
6,매트릭스: 리저렉션,2021-12-22,"1,923,032,630",2.30%,"1,923,032,630","191,280","191,280",970,"15,414",,,,,,,,,,,
7,듄,2021-10-20,"1,469,301,990",1.70%,"16,903,293,110","114,821","1,549,346",409,"7,867",,,,,,,,,,,
8,해피 뉴 이어,2021-12-29,"1,011,453,370",1.20%,"1,011,453,370","114,046","114,046",832,"6,930",,,,,,,,,,,
9,고스트버스터즈 라이즈,2021-12-01,"1,061,007,980",1.30%,"1,066,122,980","113,456","114,001",888,"19,140",,,,,,,,,,,
10,돈 룩 업,2021-12-08,"682,183,970",0.80%,"682,183,970","70,021","70,021",656,"13,128",,,,,,,,,,,
합계,,,"78,194,582,740",92.60%,"103,340,311,050","7,823,290","10,256,374","10,687","354,979",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2022/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2023/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,스파이더맨: 노 웨이 홈,2021/12/15,"17,638,013,570",31.70%,"73,335,427,330","1,775,712","7,336,652","2,162","106,959",,1,아바타: 물의 길,2022-12-14,"41,966,800,908",33.80%,"132,263,640,110","3,092,106","10,405,255","2,047","104,099"
2,씽2게더,2022/01/05,"6,995,555,990",12.60%,"6,998,173,990","758,634","758,924","1,251","58,156",,2,더 퍼스트 슬램덩크,2023-01-04,"20,566,824,665",16.60%,"20,624,602,665","1,989,172","1,994,807","1,060","76,550"
3,경관의 피,2022/01/05,"6,622,075,180",11.90%,"6,668,918,180","671,271","676,449","1,187","56,446",,3,영웅,2022-12-21,"15,861,561,131",12.80%,"30,395,786,454","1,589,884","3,077,563","1,099","69,526"
4,해적: 도깨비 깃발,2022-01-26,"5,857,339,390",10.50%,"5,857,339,390","613,020","613,020","1,708","40,684",,4,교섭,2023-01-18,"15,182,830,689",12.20%,"15,182,830,689","1,489,058","1,489,058","1,289","66,089"
5,특송,2022-01-12,"4,059,133,660",7.30%,"4,070,214,660","428,566","429,827",996,"46,323",,5,장화신은 고양이: 끝내주는 모험,2023-01-04,"7,152,855,087",5.80%,"7,209,172,087","755,180","760,958",924,"37,878"
6,킹스맨: 퍼스트에이전트 ,2021-12-22,"4,046,310,910",7.30%,"10,200,328,170","393,369","1,015,830",913,"26,334",,6,유령,2023-01-18,"5,668,333,088",4.60%,"5,668,333,088","552,954","552,954","1,099","35,038"
7,킹메이커,2022-01-26,"3,076,903,460",5.50%,"3,140,739,960","322,485","330,084","1,185","25,885",,7,스위치,2023-01-04,"3,762,547,512",3.00%,"3,983,136,396","395,818","418,966",912,"36,695"
8,하우스 오브 구찌,2022-01-12,"1,211,641,690",2.20%,"1,211,641,690","122,564","122,564",734,"14,583",,8,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,"3,724,501,362",3.00%,"10,474,658,164","352,523","1,014,920",402,"17,027"
9,해피 뉴 이어,2021-12-29,"1,154,923,530",2.10%,"2,166,376,900","116,818","230,864",771,"11,246",,9,상견니,2023-01-25,"1,672,968,868",1.30%,"1,672,968,868","170,712","170,712",699,"14,523"
